time,mouse_x,mouse_y
1712571708.717,496,1151
1712571709.718,496,1151
1712571710.720,496,1151
1712571711.722,496,1151
1712571712.724,496,1151
1712571713.726,496,1151
1712571714.727,496,1151
1712571715.729,496,1151
1712571716.731,496,1151
1712571717.733,496,1151
1712571718.735,496,1151
1712571719.737,496,1151
1712571720.738,496,1151
1712571721.740,496,1151
1712571722.742,496,1151
1712571723.744,496,1151
1712571724.746,496,1151
1712571725.748,496,1151
1712571726.772,496,1151
1712571727.774,496,1151
1712571728.776,496,1151
1712571729.778,496,1151
1712571730.779,496,1151
1712571731.781,496,1151
1712571732.807,496,1151
1712571733.809,496,1151
1712571734.811,496,1151
1712571735.813,496,1151
1712571736.816,496,1151
1712571737.818,496,1151
1712571738.820,496,1151
1712571739.822,496,1151
1712571740.824,496,1151
1712571741.827,496,1151
1712571742.829,496,1151
1712571743.831,496,1151
1712571744.833,496,1151
1712571745.834,496,1151
1712571746.836,496,1151
1712571747.838,496,1151
1712571748.840,496,1151
1712571749.842,496,1151
1712571750.844,496,1151
1712571751.845,496,1151
1712571752.847,496,1151
1712571753.849,496,1151
1712571754.851,496,1151
1712571755.853,496,1151
1712571756.855,496,1151
1712571757.857,496,1151
1712571758.858,496,1151
1712571759.860,496,1151
1712571760.862,496,1151
1712571761.864,496,1151
1712571762.865,496,1151
1712571763.867,496,1151
1712571764.896,496,1151
1712571765.897,496,1151
1712571766.899,496,1151
1712571767.901,496,1151
1712571768.902,496,1151
1712571769.904,496,1151
1712571770.906,496,1151
1712571771.908,496,1151
1712571772.909,496,1151
1712571773.911,496,1151
1712571774.913,496,1151
1712571775.915,496,1151
1712571776.916,496,1151
1712571777.918,496,1151
1712571778.920,496,1151
1712571779.922,496,1151
1712571780.924,496,1151
1712571781.925,496,1151
1712571782.927,496,1151
1712571783.929,496,1151
1712571784.931,496,1151
1712571785.933,496,1151
1712571786.934,496,1151
1712571787.936,496,1151
1712571788.938,496,1151
1712571789.940,496,1151
1712571790.942,496,1151
1712571791.943,496,1151
1712571792.945,496,1151
1712571793.947,496,1151
1712571794.949,496,1151
1712571795.951,496,1151
1712571796.952,496,1151
1712571797.954,496,1151
1712571798.956,496,1151
1712571799.958,496,1151
1712571800.959,496,1151
1712571801.961,496,1151
1712571802.963,496,1151
1712571803.964,496,1151
1712571804.966,496,1151
1712571805.968,496,1151
1712571806.970,496,1151
1712571807.971,496,1151
1712571808.973,496,1151
1712571809.975,496,1151
1712571810.977,496,1151
1712571811.979,496,1151
1712571812.981,496,1151
1712571813.983,496,1151
1712571814.985,496,1151
1712571815.986,496,1151
1712571817.011,496,1151
1712571818.020,496,1151
1712571819.022,496,1151
1712571820.024,496,1151
1712571821.026,496,1151
1712571822.028,496,1151
1712571823.029,496,1151
1712571824.031,496,1151
1712571825.033,496,1151
1712571826.035,496,1151
1712571827.037,496,1151
1712571828.039,496,1151
1712571829.041,496,1151
1712571830.043,496,1151
1712571831.044,496,1151
1712571832.046,496,1151
1712571833.048,496,1151
1712571834.050,496,1151
1712571835.052,496,1151
1712571836.054,496,1151
1712571837.056,496,1151
1712571838.058,496,1151
1712571839.059,496,1151
1712571840.061,496,1151
1712571841.063,496,1151
1712571842.065,496,1151
1712571843.086,496,1151
1712571844.088,496,1151
1712571845.090,496,1151
1712571846.100,496,1151
1712571847.102,496,1151
1712571848.104,496,1151
1712571849.106,496,1151
1712571850.107,496,1151
1712571851.125,496,1151
1712571852.127,496,1151
1712571853.136,496,1151
1712571854.146,496,1151
1712571855.147,496,1151
1712571856.149,496,1151
1712571857.151,496,1151
1712571858.154,496,1151
1712571859.156,496,1151
1712571860.157,496,1151
1712571861.159,496,1151
1712571862.161,496,1151
1712571863.163,496,1151
1712571864.164,496,1151
1712571865.166,496,1151
1712571866.168,496,1151
1712571867.170,496,1151
1712571868.172,496,1151
1712571869.174,496,1151
1712571870.175,496,1151
1712571871.199,496,1151
1712571872.200,496,1151
1712571873.203,496,1151
1712571874.209,496,1151
1712571875.211,496,1151
1712571876.213,496,1151
1712571877.215,496,1151
1712571878.218,496,1151
1712571879.229,496,1151
1712571880.247,496,1151
1712571881.249,496,1151
1712571882.250,496,1151
1712571883.252,496,1151
1712571884.254,496,1151
1712571885.256,496,1151
1712571886.258,496,1151
1712571887.260,496,1151
1712571888.261,496,1151
1712571889.263,496,1151
1712571890.271,496,1151
1712571891.273,496,1151
1712571892.274,496,1151
1712571893.276,496,1151
1712571894.278,496,1151
1712571895.280,496,1151
1712571896.282,496,1151
1712571897.284,496,1151
1712571898.285,496,1151
1712571899.287,496,1151
1712571900.289,496,1151
1712571901.291,496,1151
1712571902.293,496,1151
1712571903.294,496,1151
1712571904.296,496,1151
1712571905.298,496,1151
1712571906.300,496,1151
1712571907.301,496,1151
1712571908.303,496,1151
1712571909.305,496,1151
1712571910.307,496,1151
1712571911.309,496,1151
1712571912.311,496,1151
1712571913.312,496,1151
1712571914.314,496,1151
1712571915.316,496,1151
1712571916.318,496,1151
1712571917.320,496,1151
1712571918.322,496,1151
1712571919.323,496,1151
1712571920.325,496,1151
1712571921.327,496,1151
1712571922.329,496,1151
1712571923.331,496,1151
1712571924.332,496,1151
1712571925.334,496,1151
1712571926.336,496,1151
1712571927.338,496,1151
1712571928.339,496,1151
1712571929.341,496,1151
1712571930.343,496,1151
1712571931.368,496,1151
1712571932.393,496,1151
1712571933.394,496,1151
1712571934.404,496,1151
1712571935.420,496,1151
1712571936.437,496,1151
1712571937.441,496,1151
1712571938.444,496,1151
1712571939.447,496,1151
1712571940.463,496,1151
1712571941.465,496,1151
1712571942.467,496,1151
1712571943.487,496,1151
1712571944.488,496,1151
1712571945.490,496,1151
1712571946.506,496,1151
1712571947.508,496,1151
1712571948.510,496,1151
1712571949.511,496,1151
1712571950.513,496,1151
1712571951.515,496,1151
1712571952.517,496,1151
1712571953.519,496,1151
1712571954.521,496,1151
1712571955.523,496,1151
1712571956.525,496,1151
1712571957.526,496,1151
1712571958.528,496,1151
1712571959.530,496,1151
1712571960.532,496,1151
1712571961.533,496,1151
1712571962.535,496,1151
1712571963.537,496,1151
1712571964.539,496,1151
1712571965.541,496,1151
1712571966.542,496,1151
1712571967.544,496,1151
1712571968.565,496,1151
1712571969.567,496,1151
1712571970.569,496,1151
1712571971.570,496,1151
1712571972.572,496,1151
1712571973.574,496,1151
1712571974.576,496,1151
1712571975.578,496,1151
1712571976.580,496,1151
1712571977.581,496,1151
1712571978.583,496,1151
1712571979.585,496,1151
1712571980.587,496,1151
1712571981.610,496,1151
1712571982.613,496,1151
1712571983.621,496,1151
1712571984.622,496,1151
1712571985.624,496,1151
1712571986.626,496,1151
1712571987.628,496,1151
1712571988.630,496,1151
1712571989.632,496,1151
1712571990.634,496,1151
1712571991.635,496,1151
1712571992.637,496,1151
1712571993.639,496,1151
1712571994.641,496,1151
1712571995.643,496,1151
1712571996.645,496,1151
1712571997.647,496,1151
1712571998.649,496,1151
1712571999.650,496,1151
1712572000.656,496,1151
1712572001.659,496,1151
1712572002.667,496,1151
1712572003.686,496,1151
1712572004.687,496,1151
1712572005.704,496,1151
1712572006.706,496,1151
1712572007.725,496,1151
1712572008.727,496,1151
1712572009.728,496,1151
1712572010.732,496,1151
1712572011.734,496,1151
1712572012.736,496,1151
1712572013.737,496,1151
1712572014.752,496,1151
1712572015.754,496,1151
1712572016.755,496,1151
1712572017.773,496,1151
1712572018.775,496,1151
1712572019.777,496,1151
1712572020.779,496,1151
1712572021.781,496,1151
1712572022.783,496,1151
1712572023.784,496,1151
1712572024.786,496,1151
1712572025.788,496,1151
1712572026.790,496,1151
1712572027.792,496,1151
1712572028.794,496,1151
1712572029.795,496,1151
1712572030.797,496,1151
1712572031.799,496,1151
1712572032.801,496,1151
1712572033.803,496,1151
1712572034.805,496,1151
1712572035.806,496,1151
1712572036.808,496,1151
1712572037.810,496,1151
1712572038.812,496,1151
1712572039.814,496,1151
1712572040.815,496,1151
1712572041.817,496,1151
1712572042.819,496,1151
1712572043.821,496,1151
1712572044.823,496,1151
1712572045.824,496,1151
1712572046.826,496,1151
1712572047.828,496,1151
1712572048.829,496,1151
1712572049.831,496,1151
1712572050.833,496,1151
1712572051.835,496,1151
1712572052.837,496,1151
1712572053.839,496,1151
1712572054.840,496,1151
1712572055.843,496,1151
1712572056.849,496,1151
1712572057.851,496,1151
1712572058.852,496,1151
1712572059.854,496,1151
1712572060.877,496,1151
1712572061.879,496,1151
1712572062.881,496,1151
1712572063.883,496,1151
1712572064.895,496,1151
1712572065.897,496,1151
1712572066.899,496,1151
1712572067.900,496,1151
1712572068.902,496,1151
1712572069.904,496,1151
1712572070.906,496,1151
1712572071.908,496,1151
1712572072.909,496,1151
1712572073.911,496,1151
1712572074.913,496,1151
1712572075.915,496,1151
1712572076.917,496,1151
1712572077.919,496,1151
1712572078.921,496,1151
1712572079.922,496,1151
1712572080.924,496,1151
1712572081.926,496,1151
1712572082.928,496,1151
1712572083.929,496,1151
1712572084.931,496,1151
1712572085.933,496,1151
1712572086.935,496,1151
1712572087.937,496,1151
1712572088.939,496,1151
1712572089.941,496,1151
1712572090.962,496,1151
1712572091.983,496,1151
1712572092.986,496,1151
1712572093.998,496,1151
1712572095.016,496,1151
1712572096.018,496,1151
1712572097.020,496,1151
1712572098.022,496,1151
1712572099.031,496,1151
1712572100.032,496,1151
1712572101.034,496,1151
1712572102.036,496,1151
1712572103.047,496,1151
1712572104.063,496,1151
1712572105.067,496,1151
1712572106.069,496,1151
1712572107.081,496,1151
1712572108.083,496,1151
1712572109.085,496,1151
1712572110.087,496,1151
1712572111.088,496,1151
1712572112.090,496,1151
1712572113.092,496,1151
1712572114.094,496,1151
1712572115.095,496,1151
1712572116.097,496,1151
1712572117.099,496,1151
1712572118.101,496,1151
1712572119.127,496,1151
1712572120.129,496,1151
1712572121.130,496,1151
1712572122.132,496,1151
1712572123.134,496,1151
1712572124.135,496,1151
1712572125.161,496,1151
1712572126.169,496,1151
1712572127.171,496,1151
1712572128.173,496,1151
1712572129.175,496,1151
1712572130.192,496,1151
1712572131.198,496,1151
1712572132.200,496,1151
1712572133.213,496,1151
1712572134.216,496,1151
1712572135.217,496,1151
1712572136.219,496,1151
1712572137.221,496,1151
1712572138.223,496,1151
1712572139.244,496,1151
1712572140.245,496,1151
1712572141.247,496,1151
1712572142.249,496,1151
1712572143.251,496,1151
1712572144.253,496,1151
1712572145.254,496,1151
1712572146.256,496,1151
1712572147.258,496,1151
1712572148.270,496,1151
1712572149.272,496,1151
1712572150.274,496,1151
1712572151.275,496,1151
1712572152.277,496,1151
